site_code,start_date,parm_cd
09149500,2022-05-25T18:15:00Z,00095
09152500,2022-05-25T18:30:00Z,00095
09153270,2022-05-25T18:15:00Z,00095
09163500,2022-05-25T18:45:00Z,00095
09169500,2022-05-25T18:15:00Z,00095
09171100,2022-05-25T18:45:00Z,00095
09251000,2022-05-25T18:15:00Z,00095
09304800,2013-11-20T06:45:00Z,00095
09306200,2013-11-19T06:45:00Z,00095
09306222,2015-10-01T05:45:00Z,00095
09306224,2011-11-21T06:45:00Z,00095
09306255,2015-10-01T05:45:00Z,00095
09306290,2013-11-21T06:45:00Z,00095
09358000,2022-05-25T19:00:00Z,00095
09358550,2022-05-25T19:00:00Z,00095
09359010,2022-05-25T18:30:00Z,00095
09359020,2022-05-25T19:00:00Z,00095
09361500,2022-05-25T18:30:00Z,00095
09363500,2022-05-25T18:00:00Z,00095
09371010,2022-05-25T18:00:00Z,00095
09371492,2022-05-25T18:45:00Z,00095
09371520,2022-05-25T18:30:00Z,00095
383926107593001,2022-05-25T19:00:00Z,00095
385106106571000,2022-05-25T19:00:00Z,00095
391953108130201,2022-05-25T18:15:00Z,00095
394220106431500,2022-05-25T18:15:00Z,00095
401530105475401,2022-05-25T18:50:00Z,00095
01184000,2022-05-25T18:00:00Z,99133
01124000,2017-09-28T15:00:00Z,00095
01125100,2022-05-25T18:45:00Z,00095
01127500,2022-05-25T18:45:00Z,00095
011277905,2012-10-01T04:45:00Z,00095
01184000,2022-05-25T18:00:00Z,00095
01184490,2022-05-25T18:45:00Z,00095
01186500,2018-10-10T14:30:00Z,00095
01191000,2022-05-25T18:00:00Z,00095
01192500,2017-10-19T14:15:00Z,00095
01193348,2015-05-08T04:45:00Z,00095
01193463,2015-09-25T04:45:00Z,00095
01193500,2018-10-02T13:45:00Z,00095
01195510,2018-09-17T16:30:00Z,00095
01196222,2018-09-17T14:15:00Z,00095
01196500,2022-05-25T19:00:00Z,00095
01196528,2018-09-25T14:00:00Z,00095
01200600,2018-10-11T16:00:00Z,00095
01201487,2022-05-25T18:45:00Z,00095
01203000,2017-09-27T17:45:00Z,00095
01205500,2018-10-11T13:30:00Z,00095
01205890,2018-07-23T04:45:00Z,00095
01208350,2018-09-21T14:45:00Z,00095
01208500,2018-09-21T16:45:00Z,00095
01208873,2022-05-25T19:00:00Z,00095
01208990,2017-09-28T16:45:00Z,00095
01478000,2022-05-25T18:15:00Z,00095
01478650,2022-05-25T18:15:00Z,00095
01478950,2022-05-25T18:30:00Z,00095
01479000,2022-05-25T18:15:00Z,00095
01480000,2022-05-25T18:45:00Z,00095
01481500,2022-05-25T18:15:00Z,00095
01483155,2022-05-25T19:00:00Z,00095
01483700,2022-05-25T18:15:00Z,00095
01484100,2022-05-25T19:00:00Z,00095
01484525,2022-05-25T18:15:00Z,00095
01487150,2015-08-25T04:45:00Z,00095
01648010,2020-03-17T18:10:00Z,99133
01648010,2021-10-01T13:40:00Z,00095
01648010,2022-05-25T18:35:00Z,00095
01651770,2022-05-25T18:38:00Z,00095
01651800,2022-05-25T18:38:00Z,00095
02249500,2016-09-13T03:45:00Z,99133
02250030,2016-08-10T18:30:00Z,99133
02322700,2022-05-25T18:45:00Z,99133
02322800,2016-10-01T03:45:00Z,99133
02231291,2016-09-09T03:45:00Z,00095
02232400,2022-05-25T18:15:00Z,00095
02234000,2021-10-01T05:15:00Z,00095
02234500,2016-10-01T04:45:00Z,00095
02236000,2016-10-12T03:45:00Z,00095
02236125,2016-10-01T03:45:00Z,00095
02244040,2022-05-25T18:15:00Z,00095
02245260,2016-10-01T03:45:00Z,00095
02246459,2022-05-25T19:00:00Z,00095
02246500,2022-05-25T18:00:00Z,00095
02264000,2022-05-25T18:00:00Z,00095
02264051,2022-05-25T18:00:00Z,00095
02264100,2022-05-25T18:00:00Z,00095
02266200,2022-05-25T18:30:00Z,00095
02266291,2022-05-25T18:00:00Z,00095
02266300,2022-05-25T18:45:00Z,00095
02266495,2022-05-25T18:30:00Z,00095
02297100,2016-10-05T04:45:00Z,00095
02297350,2022-05-25T18:15:00Z,00095
02297460,2022-04-26T14:15:00Z,00095
02297635,2016-10-03T03:45:00Z,00095
02298124,2016-10-15T04:45:00Z,00095
02298170,2016-10-03T03:45:00Z,00095
02298202,2022-05-25T19:00:00Z,00095
02298492,2011-10-05T03:45:00Z,00095
02299230,2014-10-09T04:45:00Z,00095
02299496,2014-10-10T03:45:00Z,00095
02299727,2013-10-22T04:45:00Z,00095
02299727,2022-05-25T18:00:00Z,00095
023000095,2022-05-25T18:15:00Z,00095
02301500,2022-05-25T18:00:00Z,00095
02301638,2015-10-09T04:00:00Z,00095
02301638,2020-05-27T15:30:00Z,00095
02301718,2022-05-25T19:00:00Z,00095
02301719,2015-10-09T03:45:00Z,00095
02301721,2015-10-16T03:45:00Z,00095
02301721,2022-05-25T18:45:00Z,00095
02304000,2022-05-25T18:45:00Z,00095
02304510,2022-05-25T18:15:00Z,00095
02304517,2022-05-25T18:30:00Z,00095
02304520,2012-10-19T03:45:00Z,00095
02304520,2014-10-03T04:45:00Z,00095
023060013,2022-05-25T18:30:00Z,00095
02306028,2022-05-25T18:00:00Z,00095
02310308,2022-05-25T18:15:00Z,00095
02310673,2022-05-25T18:15:00Z,00095
02310674,2022-05-25T19:00:00Z,00095
02310742,2022-05-25T18:30:00Z,00095
02313700,2022-05-25T18:00:00Z,00095
02315550,2022-05-25T18:15:00Z,00095
02317620,2022-05-25T18:00:00Z,00095
02319000,2022-05-25T18:30:00Z,00095
02319394,2022-05-25T18:00:00Z,00095
02319800,2022-05-25T19:00:00Z,00095
02320000,2022-05-25T18:00:00Z,00095
02320500,2022-05-25T19:00:00Z,00095
02321500,2022-05-25T18:15:00Z,00095
02321975,2022-05-25T18:45:00Z,00095
02322500,2022-05-25T18:45:00Z,00095
02322700,2022-05-25T18:45:00Z,00095
02322800,2022-05-25T19:00:00Z,00095
02323000,2022-05-25T18:00:00Z,00095
02323592,2022-05-25T18:45:00Z,00095
02324170,2022-05-25T18:30:00Z,00095
02326993,2017-10-18T12:30:00Z,00095
02327033,2017-10-17T12:00:00Z,00095
02358000,2022-05-25T19:00:00Z,00095
02359170,2022-05-25T18:45:00Z,00095
02203603,2022-05-25T18:15:00Z,00095
02203655,2022-05-25T18:15:00Z,00095
02203700,2022-05-25T18:15:00Z,00095
02203831,2022-05-25T19:00:00Z,00095
02203863,2022-05-25T18:15:00Z,00095
02203873,2022-05-25T18:30:00Z,00095
02203900,2022-05-25T19:00:00Z,00095
02203950,2022-05-25T18:15:00Z,00095
02203960,2022-05-25T18:30:00Z,00095
02204037,2022-05-25T18:30:00Z,00095
02205000,2022-05-25T18:45:00Z,00095
02205865,2022-05-25T18:15:00Z,00095
02206500,2022-05-25T18:15:00Z,00095
02207120,2022-05-25T18:45:00Z,00095
02207135,2022-05-25T18:30:00Z,00095
02207160,2022-05-25T18:45:00Z,00095
02207185,2022-05-25T18:45:00Z,00095
02207385,2022-05-25T18:00:00Z,00095
02207400,2022-05-25T18:00:00Z,00095
02208150,2022-05-25T18:45:00Z,00095
02208450,2022-05-25T19:00:00Z,00095
02208493,2022-05-25T19:00:00Z,00095
02217274,2022-05-25T18:15:00Z,00095
02217643,2022-05-25T19:00:00Z,00095
02218565,2022-05-25T18:00:00Z,00095
02318500,2022-05-25T19:00:00Z,00095
02334480,2022-05-25T18:30:00Z,00095
02334578,2022-05-25T18:15:00Z,00095
02334885,2022-05-25T18:15:00Z,00095
02335000,2022-05-25T18:15:00Z,00095
02335350,2022-05-25T18:45:00Z,00095
02335880,2022-05-25T18:30:00Z,00095
02336000,2022-05-25T18:45:00Z,00095
02336030,2022-05-25T18:00:00Z,00095
02336120,2022-05-25T18:15:00Z,00095
02336152,2022-05-25T18:15:00Z,00095
023362095,2022-05-25T19:00:00Z,00095
