site_no,RBI
01184000,0.00787238432789367
01184000,0.00787238432789367
02322700,0.0117530526310592
02322800,0.034649477871732
02322700,0.0117530526310592
02322800,0.034649477871732
03339000,0.00657169318164999
03346500,0.0141977065560073
03612600,0.013130839338898
05446500,0.00263224122606692
05447500,0.0047087975745594
05537980,0.158651311765944
05567500,0.00594431408078834
05576100,0.606996209014334
05576195,0.16772469430977
05579620,0.0178593069467846
05579630,0.00956975244093965
05595000,0.0242167472732585
05599490,0.0393336202433158
03339000,0.00657169318164999
03346500,0.0141977065560073
03612600,0.013130839338898
05446500,0.00263224122606692
05447500,0.0047087975745594
05537980,0.158651311765944
05567500,0.00594431408078834
05576100,0.606996209014334
05576195,0.16772469430977
05579620,0.0178593069467846
05579630,0.00956975244093965
05595000,0.0242167472732585
05599490,0.0393336202433158
03275500,0.0216150770429133
03276000,0.309798823772731
03340900,0.00244015802581901
03353415,0.0182831402094558
03353420,0.018821709470615
03374100,0.0019717975939484
05515500,0.00329856433402332
05517500,0.00223768849588094
05518000,0.0016650473419034
05524500,0.0183092827539746
03275500,0.0216150770429133
03276000,0.309798823772731
03340900,0.00244015802581901
03353415,0.0182831402094558
03353420,0.018821709470615
03374100,0.0019717975939484
05515500,0.00329856433402332
05517500,0.00223768849588094
05518000,0.0016650473419034
05524500,0.0183092827539746
05418400,0.00727200437311655
05420500,0.00514964588090669
05451210,0.00962021132949136
05464420,0.00268029180974337
05418400,0.00727200437311655
05420500,0.00514964588090669
05451210,0.00962021132949136
05464420,0.00268029180974337
06892513,0.0440959306317215
07144780,0.0169728210831588
06892513,0.0440959306317215
07144780,0.0169728210831588
03254520,0.0107537596356981
03290500,0.00571469324896777
03311000,0.229352514576472
03321500,0.0180242572566134
03254520,0.0107537596356981
03290500,0.00571469324896777
03311000,0.229352514576472
03321500,0.0180242572566134
07374000,0.0010430723909274
07374000,0.0010430723909274
01493112,0.0204803309301403
01493112,0.0204803309301403
04165500,0.0287860275840255
04166500,0.00980853431762344
04168400,0.00978686342840322
04165500,0.0287860275840255
04166500,0.00980853431762344
04168400,0.00978686342840322
06818000,0.00249799200464023
06899900,0.0239619311486524
06900050,0.0193615520646208
06901500,0.0157572123486808
06902000,0.010537843883549
06934500,0.00282698247302262
06818000,0.00249799200464023
06899900,0.0239619311486524
06900050,0.0193615520646208
06901500,0.0157572123486808
06902000,0.010537843883549
06934500,0.00282698247302262
01408500,0.00158736884675278
01463500,0.00280442109575006
01408500,0.00158736884675278
01463500,0.00280442109575006
04183500,0.0038732248100084
04183500,0.0038732248100084
01467200,0.703504161600653
01573660,0.0362129631522761
01574000,0.00874683764239821
01575598,0.0129679883226206
01575900,0.0106805148942445
01576007,0.0165878141680391
01576045,0.0228340817748988
01577500,0.00997802562199457
01467200,0.703504161600653
01573660,0.0362129631522761
01574000,0.00874683764239821
01575598,0.0129679883226206
01575900,0.0106805148942445
01576007,0.0165878141680391
01576045,0.0228340817748988
01577500,0.00997802562199457
08181800,0.0103283461309975
08188500,0.00662949890168289
08195000,0.0167634319629525
08181800,0.0103283461309975
08188500,0.00662949890168289
08195000,0.0167634319629525
01632900,0.0102064402487742
01645762,0.0243983438186632
01646000,0.0244549114309921
01654000,0.0590694102699933
01673000,0.00547354575119369
0167300055,0.952683278975932
02035000,0.00377052161930751
01632900,0.0102064402487742
01645762,0.0243983438186632
01646000,0.0244549114309921
01654000,0.0590694102699933
01673000,0.00547354575119369
0167300055,0.952683278975932
02035000,0.00377052161930751
12500450,0.00280009671797458
12510500,0.00170471942953658
12500450,0.00280009671797458
12510500,0.00170471942953658
04067958,0.00254469419727868
04072150,0.401521150431706
04080798,0.00447251787013887
04081000,0.00774341291436338
04067958,0.00254469419727868
04072150,0.401521150431706
04080798,0.00447251787013887
04081000,0.00774341291436338
